Tittle line: Hexaplex
hex1
hex2
hex4
hex27
hex25
hex13
Pop
B1-L ,  147153 147153 301301 161179 171171 175187
B2-M1_E08 ,  147153 147153 301301 161165 000000 175187
B3-M1_F08 ,  147153 147153 301325 181187 171171 175187
B4-M1_G08 ,  147153 147153 301301 161165 171171 175187
B5-M1_A09 ,  147153 147153 301301 177177 171171 175187
B6-M1_B09 ,  147153 147153 301301 181183 171171 175187
B7-M1_H08 ,  147153 147153 301301 181181 171171 175187
B8-M1_D09 ,  147147 147147 301301 161165 171171 175187
B9-M1_E09 ,  147147 147147 301325 165177 171171 175187
B10-M1_C09 ,  147153 147153 325325 161165 171171 175187
Pop
F2-L ,  147147 147147 301301 000000 171171 000000
F3-M1_D07 ,  147153 147153 301301 165183 174186 175187
F4-M1_E07 ,  147153 147153 301301 165181 174186 175187
F5-M1_F07 ,  147153 147153 301301 165181 171171 175187
F6-M1_G07 ,  147153 147153 301301 161165 171171 175187
F7-M1_H07 ,  147153 147153 301301 165183 171171 175187
F8-M1_A08 ,  147153 147153 301301 165177 171171 175187
F9-M1_B08 ,  147153 147153 301301 165173 171171 175187
F10-M1_C08 ,  000000 000000 301301 165165 000000 175187
Pop
CH1-L ,  147153 147153 000000 187187 171171 175187
CH2-M1_G09 ,  147153 147153 301325 183187 171171 175187
CH3-M1_H09 ,  147153 147153 301325 187187 171171 175187
CH4-M1_A10 ,  147147 147147 000000 161165 171171 187187
CH5-M1_B10 ,  147153 147153 301301 161165 171171 175187
CH6-M1_C10 ,  147153 147153 301301 000000 171171 175187
CH7-M1_D10 ,  147153 147153 301301 179179 156156 175187
CH8-M1_E10 ,  147153 147153 301301 181181 165171 175187
CH9-M1_F10 ,  147153 147153 304304 000000 168171 175187
CH10-M1_G10 ,  153153 153153 301325 165181 171171 175187
Pop
GAR1-H ,  147153 147153 301301 161161 168171 175187
GAR2-M1_A11 ,  147153 147153 000000 161165 168168 175187
GAR4-M1_B11 ,  147153 147153 000000 155165 156171 175187
GAR5-M1_C11 ,  153153 153153 000000 165165 171171 187187
GAR6-M1_D11 ,  147153 147153 301301 165175 171171 175187
GAR7-M1_E11 ,  147153 147153 301301 161183 168168 175187
GAR8-M1_F11 ,  147153 147153 301301 161165 171171 175175
GAR9-M1_G11 ,  147147 147147 298301 161165 171171 175187
GAR10-M1_H11 ,  147153 147153 000000 161165 171171 187187
GAR11-M1_A12 ,  147153 147153 301301 183185 000000 175187
Pop
RG1-H ,  147150 147150 000000 161181 156156 175187
RG2-M1_C12 ,  147153 147153 000000 165165 156156 175187
RG3-M1_D12 ,  147153 147153 000000 000000 177189 175187
RG4-M1_E12 ,  147153 147153 301301 179179 156162 175187
RG5-M1_F12 ,  147153 147153 000000 179179 159165 175187
RG6-M1_G12 ,  000000 000000 000000 165165 159165 175187
RG7-M1_H12 ,  147153 147153 301301 165179 162168 175187
RG8-M1_A01 ,  000000 000000 000000 000000 162168 187187
RG9-M1_B01 ,  147153 147153 000000 163179 165165 175187
Pop
LD1-H ,  147147 147147 000000 000000 165165 175175
LD2-M1_D01 ,  147153 147153 301301 161165 165171 175187
LD3-M1_E01 ,  147147 147147 301301 000000 159165 175187
LD4-M1_F01 ,  147147 147147 000000 000000 159168 175187
LD5-M1_G01 ,  147153 147153 000000 000000 165165 175187
LD6-M1_H01 ,  147150 147150 000000 161161 156165 175187
LD7-M1_A02 ,  147153 147153 000000 185185 159168 175187
LD8-M1_B02 ,  147153 147153 000000 165165 165171 175187
LD9-M1_C02 ,  147153 147153 000000 165179 165165 175187
LD10-M1_D02 ,  147147 147147 000000 161161 165171 175187
